EmployeeNumber,Age,age_band,Gender,MaritalStatus,Department,JobRole,JobLevel,Education_label,EducationField,BusinessTravel,DistanceFromHome,OverTime,MonthlyIncome,income_quartile,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,YearsAtCompany,tenure_band,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,NumCompaniesWorked,TrainingTimesLastYear,JobSatisfaction_label,EnvironmentSatisfaction_label,RelationshipSatisfaction_label,JobInvolvement_label,WorkLifeBalance_label,satisfaction_band,PerformanceRating,Attrition,attrition_flag
14,35,26 to 35,Male,Married,Research & Development,Laboratory Technician,1,3 Bachelor,Medical,Travel_Rarely,16,No,2426,Q1 lowest,13,1,6,5,3 to 5,4,0,3,0,5,2 Medium,1 Low,3 High,4 Very High,3 Better,Below average,3,No,0
15,29,26 to 35,Female,Single,Research & Development,Laboratory Technician,2,2 College,Life Sciences,Travel_Rarely,15,Yes,4193,Q2,12,0,10,9,6 to 10,5,0,8,0,3,3 High,4 Very High,4 Very High,2 Medium,3 Better,Good,3,No,0
16,31,26 to 35,Male,Divorced,Research & Development,Research Scientist,1,1 Below College,Life Sciences,Travel_Rarely,26,No,2911,Q1 lowest,17,1,5,5,3 to 5,2,4,3,1,1,3 High,1 Low,4 Very High,3 High,2 Good,Below average,3,No,0
18,34,26 to 35,Male,Divorced,Research & Development,Laboratory Technician,1,2 College,Medical,Travel_Rarely,19,No,2661,Q1 lowest,11,1,3,2,1 to 2,2,1,2,0,2,4 Very High,2 Medium,3 High,3 High,3 Better,Good,3,No,0
19,28,26 to 35,Male,Single,Research & Development,Laboratory Technician,1,3 Bachelor,Life Sciences,Travel_Rarely,24,Yes,2028,Q1 lowest,14,0,6,4,3 to 5,2,0,3,5,4,3 High,3 High,2 Medium,2 Medium,3 Better,Below average,3,Yes,1
20,29,26 to 35,Female,Divorced,Research & Development,Manufacturing Director,3,4 Master,Life Sciences,Travel_Rarely,21,No,9980,Q4 highest,11,1,10,10,6 to 10,9,8,8,1,1,1 Low,2 Medium,3 High,4 Very High,3 Better,Below average,3,No,0
21,32,26 to 35,Male,Divorced,Research & Development,Research Scientist,1,2 College,Life Sciences,Travel_Rarely,5,Yes,3298,Q2,12,2,7,6,6 to 10,2,0,5,0,5,2 Medium,1 Low,4 Very High,4 Very High,2 Good,Below average,3,No,0
22,22,18 to 25,Male,Divorced,Research & Development,Laboratory Technician,1,2 College,Medical,Non-Travel,16,Yes,2935,Q2,13,2,1,1,Under 1 year,0,0,0,1,2,4 Very High,4 Very High,2 Medium,4 Very High,2 Good,Good,3,No,0
23,53,46 to 60,Female,Married,Sales,Manager,4,4 Master,Life Sciences,Travel_Rarely,2,No,15427,Q4 highest,16,0,31,25,Over 10,8,3,7,2,3,4 Very High,1 Low,3 High,2 Medium,3 Better,Below average,3,No,0
24,38,36 to 45,Male,Single,Research & Development,Research Scientist,1,3 Bachelor,Life Sciences,Travel_Rarely,2,Yes,3944,Q2,11,0,6,3,3 to 5,2,1,2,5,3,4 Very High,4 Very High,3 High,3 High,3 Better,Good,3,No,0
26,24,18 to 25,Female,Divorced,Research & Development,Manufacturing Director,2,2 College,Other,Non-Travel,11,No,4011,Q2,18,1,5,4,3 to 5,2,1,3,0,5,3 High,1 Low,4 Very High,4 Very High,2 Good,Below average,3,No,0
27,36,36 to 45,Male,Single,Sales,Sales Representative,1,4 Master,Life Sciences,Travel_Rarely,9,No,3407,Q2,23,0,10,5,3 to 5,3,0,3,7,4,1 Low,3 High,2 Medium,2 Medium,3 Better,Below average,4,Yes,1
28,34,26 to 35,Female,Single,Research & Development,Research Director,3,4 Master,Life Sciences,Travel_Rarely,7,No,11994,Q4 highest,11,0,13,12,Over 10,6,2,11,0,4,2 Medium,1 Low,3 High,3 High,3 Better,Below average,3,No,0
30,21,18 to 25,Male,Single,Research & Development,Research Scientist,1,2 College,Life Sciences,Travel_Rarely,15,No,1232,Q1 lowest,14,0,0,0,Under 1 year,0,0,0,1,6,4 Very High,3 High,4 Very High,3 High,3 Better,Good,3,No,0
31,34,26 to 35,Male,Single,Research & Development,Research Scientist,1,1 Below College,Medical,Travel_Rarely,6,No,2960,Q2,11,0,8,4,3 to 5,2,1,3,2,2,1 Low,2 Medium,3 High,3 High,3 Better,Below average,3,Yes,1
32,53,46 to 60,Female,Divorced,Research & Development,Manager,5,3 Bachelor,Other,Travel_Rarely,5,No,19094,Q4 highest,11,1,26,14,Over 10,13,4,8,4,3,3 High,3 High,4 Very High,3 High,2 Good,Good,3,No,0
33,32,26 to 35,Female,Single,Research & Development,Research Scientist,1,1 Below College,Life Sciences,Travel_Frequently,16,Yes,3919,Q2,22,0,10,10,6 to 10,2,6,7,1,5,1 Low,2 Medium,2 Medium,1 Low,3 Better,Low,4,Yes,1
35,42,36 to 45,Male,Married,Sales,Sales Executive,2,4 Master,Marketing,Travel_Rarely,8,No,6825,Q3,11,1,10,9,6 to 10,7,4,2,0,2,2 Medium,3 High,4 Very High,3 High,3 Better,Good,3,No,0
36,44,36 to 45,Female,Married,Research & Development,Healthcare Representative,3,4 Master,Medical,Travel_Rarely,7,No,10248,Q4 highest,14,1,24,22,Over 10,6,5,17,3,4,4 Very High,1 Low,4 Very High,2 Medium,3 Better,Good,3,No,0
38,46,46 to 60,Female,Single,Sales,Manager,5,4 Master,Marketing,Travel_Rarely,2,No,18947,Q4 highest,12,0,22,2,1 to 2,2,2,1,3,2,1 Low,2 Medium,4 Very High,3 High,2 Good,Below average,3,No,0
39,33,26 to 35,Male,Single,Research & Development,Laboratory Technician,1,3 Bachelor,Medical,Travel_Rarely,2,No,2496,Q1 lowest,11,0,7,1,Under 1 year,1,0,0,4,3,4 Very High,3 High,4 Very High,3 High,3 Better,Good,3,No,0
40,44,36 to 45,Male,Married,Research & Development,Healthcare Representative,2,4 Master,Other,Travel_Rarely,10,Yes,6465,Q3,13,0,9,4,3 to 5,2,1,3,2,5,4 Very High,4 Very High,4 Very High,3 High,4 Best,High,3,No,0
41,30,26 to 35,Male,Single,Research & Development,Laboratory Technician,1,2 College,Medical,Travel_Rarely,9,No,2206,Q1 lowest,13,0,10,10,6 to 10,0,1,8,1,5,3 High,4 Very High,1 Low,2 Medium,3 Better,Below average,3,No,0
42,39,36 to 45,Male,Married,Sales,Sales Representative,2,3 Bachelor,Technical Degree,Travel_Rarely,5,No,2086,Q1 lowest,14,1,19,1,Under 1 year,0,0,0,3,6,4 Very High,4 Very High,3 High,3 High,4 Best,High,3,Yes,1
45,24,18 to 25,Male,Married,Research & Development,Research Scientist,1,3 Bachelor,Medical,Travel_Rarely,1,Yes,2293,Q1 lowest,16,1,6,2,1 to 2,0,2,0,2,2,4 Very High,2 Medium,1 Low,3 High,2 Good,Below average,3,Yes,1
46,43,36 to 45,Female,Divorced,Research & Development,Research Scientist,1,2 College,Medical,Travel_Rarely,2,No,2645,Q1 lowest,12,2,6,5,3 to 5,3,1,4,1,3,3 High,4 Very High,4 Very High,4 Very High,2 Good,Good,3,No,0
47,50,46 to 60,Male,Married,Sales,Sales Representative,1,2 College,Marketing,Travel_Rarely,3,Yes,2683,Q1 lowest,14,0,3,3,3 to 5,2,0,2,1,2,3 High,1 Low,3 High,2 Medium,3 Better,Below average,3,Yes,1
49,35,26 to 35,Female,Married,Sales,Sales Representative,1,3 Bachelor,Marketing,Travel_Rarely,2,No,2014,Q1 lowest,13,0,2,2,1 to 2,2,2,2,1,3,4 Very High,4 Very High,1 Low,3 High,3 Better,Good,3,No,0
51,36,36 to 45,Female,Married,Research & Development,Research Scientist,1,4 Master,Life Sciences,Travel_Rarely,5,Yes,3419,Q2,14,1,6,1,Under 1 year,1,0,0,9,3,1 Low,2 Medium,4 Very High,2 Medium,4 Best,Below average,3,No,0
52,33,26 to 35,Female,Married,Sales,Sales Executive,2,3 Bachelor,Life Sciences,Travel_Frequently,1,No,5376,Q3,19,2,10,5,3 to 5,3,1,3,2,3,1 Low,3 High,1 Low,4 Very High,3 Better,Low,3,No,0
53,35,26 to 35,Male,Divorced,Research & Development,Laboratory Technician,1,2 College,Other,Travel_Rarely,4,No,1951,Q1 lowest,12,1,1,1,Under 1 year,0,0,0,1,3,4 Very High,3 High,3 High,3 High,3 Better,Good,3,No,0
54,27,26 to 35,Female,Divorced,Research & Development,Laboratory Technician,1,4 Master,Life Sciences,Travel_Rarely,2,No,2341,Q1 lowest,13,1,1,1,Under 1 year,0,0,0,1,6,1 Low,4 Very High,4 Very High,3 High,3 Better,Good,3,No,0
55,26,26 to 35,Male,Single,Research & Development,Laboratory Technician,1,3 Bachelor,Life Sciences,Travel_Rarely,25,No,2293,Q1 lowest,12,0,1,1,Under 1 year,0,0,1,1,2,3 High,1 Low,3 High,1 Low,2 Good,Below average,3,Yes,1
56,27,26 to 35,Male,Single,Sales,Sales Executive,3,3 Bachelor,Life Sciences,Travel_Frequently,8,No,8726,Q4 highest,15,0,9,9,6 to 10,8,1,7,1,0,3 High,4 Very High,4 Very High,3 High,3 Better,Good,3,No,0
57,30,26 to 35,Female,Single,Research & Development,Laboratory Technician,2,2 College,Medical,Travel_Frequently,1,No,4011,Q2,23,0,12,12,Over 10,8,3,7,1,2,4 Very High,3 High,4 Very High,3 High,3 Better,Good,4,No,0
58,41,36 to 45,Female,Married,Research & Development,Research Director,5,3 Bachelor,Technical Degree,Travel_Rarely,12,No,19545,Q4 highest,12,0,23,22,Over 10,15,15,8,1,0,3 High,2 Medium,4 Very High,3 High,3 Better,Good,3,Yes,1
60,34,26 to 35,Male,Single,Sales,Sales Executive,2,4 Master,Marketing,Non-Travel,23,No,4568,Q2,20,0,10,9,6 to 10,5,8,7,0,2,3 High,2 Medium,3 High,3 High,3 Better,Below average,4,No,0
61,37,36 to 45,Male,Married,Research & Development,Research Scientist,1,2 College,Life Sciences,Travel_Rarely,19,No,3022,Q2,21,0,8,1,Under 1 year,0,0,0,4,1,2 Medium,2 Medium,1 Low,3 High,3 Better,Low,4,No,0
62,46,46 to 60,Male,Single,Sales,Sales Executive,2,4 Master,Marketing,Travel_Frequently,5,Yes,5772,Q3,21,0,14,9,6 to 10,6,0,8,4,4,4 Very High,1 Low,3 High,3 High,3 Better,Below average,4,No,0
63,35,26 to 35,Male,Married,Research & Development,Laboratory Technician,1,1 Below College,Life Sciences,Travel_Rarely,8,No,2269,Q1 lowest,19,0,1,1,Under 1 year,0,0,1,1,2,4 Very High,4 Very High,4 Very High,4 Very High,3 Better,High,3,No,0
64,48,46 to 60,Male,Single,Research & Development,Laboratory Technician,3,2 College,Life Sciences,Travel_Rarely,1,Yes,5381,Q3,13,0,23,1,Under 1 year,0,0,0,9,2,3 High,1 Low,4 Very High,2 Medium,3 Better,Below average,3,Yes,1
65,28,26 to 35,Male,Single,Research & Development,Laboratory Technician,1,4 Master,Technical Degree,Travel_Rarely,5,Yes,3441,Q2,13,0,2,2,1 to 2,2,2,2,1,3,3 High,3 High,3 High,3 High,2 Good,Below average,3,Yes,1
68,44,36 to 45,Female,Divorced,Sales,Sales Executive,2,5 Doctor,Marketing,Travel_Rarely,1,Yes,5454,Q3,21,1,9,4,3 to 5,3,1,3,5,2,1 Low,2 Medium,3 High,3 High,2 Good,Low,4,No,0
70,35,26 to 35,Male,Married,Research & Development,Healthcare Representative,3,2 College,Medical,Non-Travel,11,Yes,9884,Q4 highest,13,1,10,4,3 to 5,0,2,3,2,3,1 Low,3 High,3 High,2 Medium,3 Better,Below average,3,No,0
72,26,26 to 35,Female,Married,Sales,Sales Executive,2,3 Bachelor,Marketing,Travel_Rarely,23,Yes,4157,Q2,19,1,5,2,1 to 2,2,0,0,7,2,4 Very High,3 High,3 High,2 Medium,2 Good,Good,3,No,0
73,33,26 to 35,Female,Single,Research & Development,Research Director,3,2 College,Life Sciences,Travel_Frequently,1,Yes,13458,Q4 highest,12,0,15,15,Over 10,14,8,12,1,1,4 Very High,1 Low,3 High,3 High,3 Better,Below average,3,No,0
74,35,26 to 35,Male,Married,Sales,Sales Executive,3,5 Doctor,Life Sciences,Travel_Frequently,18,No,9069,Q4 highest,22,1,9,9,6 to 10,8,1,8,1,3,1 Low,2 Medium,4 Very High,3 High,2 Good,Below average,4,No,0
75,35,26 to 35,Female,Married,Research & Development,Laboratory Technician,1,4 Master,Medical,Travel_Rarely,23,Yes,4014,Q2,15,1,4,2,1 to 2,2,2,2,3,3,1 Low,3 High,3 High,3 High,3 Better,Below average,3,No,0
76,31,26 to 35,Male,Divorced,Research & Development,Laboratory Technician,2,4 Master,Life Sciences,Travel_Rarely,7,No,5915,Q3,22,1,10,7,6 to 10,7,1,7,3,3,4 Very High,4 Very High,4 Very High,3 High,2 Good,Good,4,No,0
77,37,36 to 45,Male,Divorced,Research & Development,Manufacturing Director,2,4 Master,Life Sciences,Travel_Rarely,1,No,5993,Q3,18,1,7,7,6 to 10,5,0,7,1,2,3 High,1 Low,3 High,2 Medium,4 Best,Below average,3,No,0
78,32,26 to 35,Male,Married,Research & Development,Manufacturing Director,2,3 Bachelor,Medical,Travel_Rarely,1,Yes,6162,Q3,22,1,9,9,6 to 10,8,7,8,1,3,4 Very High,1 Low,2 Medium,3 High,3 Better,Below average,4,No,0
79,38,36 to 45,Female,Single,Research & Development,Laboratory Technician,2,5 Doctor,Life Sciences,Travel_Frequently,29,No,2406,Q1 lowest,11,0,10,10,6 to 10,3,9,9,1,2,4 Very High,4 Very High,4 Very High,3 High,3 Better,High,3,No,0
80,50,46 to 60,Female,Divorced,Research & Development,Research Director,5,2 College,Medical,Travel_Rarely,7,Yes,18740,Q4 highest,12,1,29,27,Over 10,3,13,8,5,2,3 High,2 Medium,4 Very High,2 Medium,2 Good,Below average,3,No,0
81,59,46 to 60,Female,Single,Sales,Sales Executive,3,3 Bachelor,Life Sciences,Travel_Rarely,25,No,7637,Q3,11,0,28,21,Over 10,16,7,9,7,3,1 Low,1 Low,4 Very High,3 High,2 Good,Low,3,No,0
83,36,36 to 45,Female,Divorced,Research & Development,Healthcare Representative,3,3 Bachelor,Technical Degree,Travel_Rarely,8,No,10096,Q4 highest,13,3,17,17,Over 10,14,12,8,1,2,3 High,3 High,2 Medium,3 High,3 Better,Below average,3,No,0
84,55,46 to 60,Female,Divorced,Research & Development,Manager,4,3 Bachelor,Medical,Travel_Rarely,8,Yes,14756,Q4 highest,14,3,21,5,3 to 5,0,0,2,2,2,3 High,4 Very High,3 High,3 High,3 Better,Good,3,No,0
85,36,36 to 45,Male,Single,Research & Development,Manufacturing Director,2,3 Bachelor,Life Sciences,Travel_Frequently,11,No,6499,Q3,13,0,6,6,6 to 10,5,0,3,1,3,2 Medium,2 Medium,3 High,2 Medium,3 Better,Below average,3,No,0
86,45,36 to 45,Male,Divorced,Research & Development,Research Scientist,3,3 Bachelor,Life Sciences,Travel_Rarely,7,No,9724,Q4 highest,17,1,25,1,Under 1 year,0,0,0,2,2,1 Low,2 Medium,3 High,3 High,3 Better,Below average,3,No,0
88,35,26 to 35,Male,Married,Research & Development,Research Scientist,1,3 Bachelor,Medical,Travel_Frequently,1,No,2194,Q1 lowest,13,1,5,3,3 to 5,2,1,2,4,2,1 Low,2 Medium,4 Very High,3 High,2 Good,Below average,3,No,0
90,36,36 to 45,Male,Married,Research & Development,Research Scientist,1,3 Bachelor,Medical,Travel_Rarely,9,Yes,3388,Q2,17,1,2,1,Under 1 year,0,0,0,0,0,3 High,4 Very High,1 Low,2 Medium,2 Good,Below average,3,Yes,1
91,59,46 to 60,Female,Single,Sales,Sales Executive,2,1 Below College,Life Sciences,Travel_Frequently,1,No,5473,Q3,11,0,20,4,3 to 5,3,1,3,7,2,3 High,1 Low,4 Very High,2 Medium,2 Good,Below average,3,No,0
94,29,26 to 35,Male,Married,Research & Development,Research Scientist,1,3 Bachelor,Life Sciences,Travel_Rarely,2,No,2703,Q1 lowest,23,1,6,5,3 to 5,4,0,4,0,3,2 Medium,3 High,4 Very High,3 High,3 Better,Good,4,No,0
95,31,26 to 35,Male,Single,Research & Development,Research Scientist,1,4 Master,Medical,Travel_Rarely,1,No,2501,Q1 lowest,17,0,1,1,Under 1 year,1,1,0,1,4,2 Medium,3 High,2 Medium,3 High,3 Better,Below average,3,No,0
96,32,26 to 35,Male,Married,Research & Development,Research Scientist,2,3 Bachelor,Life Sciences,Travel_Rarely,1,No,6220,Q3,17,2,10,10,6 to 10,4,0,9,1,3,2 Medium,2 Medium,2 Medium,3 High,3 Better,Below average,3,No,0
97,36,36 to 45,Female,Married,Research & Development,Laboratory Technician,1,3 Bachelor,Life Sciences,Travel_Rarely,6,No,3038,Q2,12,0,5,1,Under 1 year,0,0,0,3,3,4 Very High,2 Medium,2 Medium,4 Very High,3 Better,Below average,3,No,0
98,31,26 to 35,Female,Single,Research & Development,Manufacturing Director,2,4 Master,Life Sciences,Travel_Rarely,8,No,4424,Q2,23,0,11,11,Over 10,7,1,8,1,2,4 Very High,3 High,4 Very High,3 High,3 Better,Good,4,No,0
100,35,26 to 35,Male,Single,Sales,Sales Executive,2,4 Master,Marketing,Travel_Rarely,1,No,4312,Q2,14,0,16,15,Over 10,13,2,8,0,2,1 Low,3 High,2 Medium,2 Medium,3 Better,Below average,3,No,0
101,45,36 to 45,Male,Married,Research & Development,Research Director,3,4 Master,Other,Travel_Rarely,6,Yes,13245,Q4 highest,14,0,17,0,Under 1 year,0,0,0,4,3,1 Low,4 Very High,2 Medium,3 High,4 Best,Below average,3,No,0
102,37,36 to 45,Male,Single,Research & Development,Research Director,3,4 Master,Medical,Travel_Rarely,7,No,13664,Q4 highest,13,0,16,5,3 to 5,2,0,2,4,3,3 High,1 Low,1 Low,3 High,4 Best,Below average,3,No,0
103,46,46 to 60,Male,Divorced,Human Resources,Human Resources,2,2 College,Medical,Travel_Rarely,5,Yes,5021,Q3,22,1,16,4,3 to 5,2,0,2,8,2,2 Medium,2 Medium,4 Very High,3 High,3 Better,Below average,4,No,0
104,30,26 to 35,Male,Married,Research & Development,Laboratory Technician,2,1 Below College,Life Sciences,Travel_Rarely,1,Yes,5126,Q3,12,2,10,10,6 to 10,8,3,0,1,1,4 Very High,4 Very High,3 High,2 Medium,2 Good,Good,3,No,0
105,35,26 to 35,Male,Single,Research & Development,Research Scientist,1,3 Bachelor,Medical,Travel_Rarely,1,No,2859,Q1 lowest,18,0,6,6,6 to 10,4,0,4,1,3,3 High,2 Medium,1 Low,2 Medium,3 Better,Below average,3,No,0
106,55,46 to 60,Male,Married,Sales,Sales Executive,3,2 College,Life Sciences,Travel_Rarely,1,No,10239,Q4 highest,14,1,24,1,Under 1 year,0,1,0,3,4,4 Very High,1 Low,4 Very High,3 High,3 Better,Good,3,No,0
107,38,36 to 45,Female,Divorced,Research & Development,Research Scientist,2,3 Bachelor,Medical,Non-Travel,6,Yes,5329,Q3,12,3,17,13,Over 10,11,1,9,7,3,4 Very High,2 Medium,4 Very High,1 Low,3 Better,Good,3,No,0
110,34,26 to 35,Male,Married,Research & Development,Manufacturing Director,2,2 College,Medical,Travel_Rarely,1,No,4325,Q2,15,0,5,5,3 to 5,2,1,3,1,2,2 Medium,1 Low,3 High,3 High,3 Better,Below average,3,No,0
112,56,46 to 60,Male,Single,Research & Development,Manufacturing Director,3,3 Bachelor,Life Sciences,Travel_Rarely,7,No,7260,Q3,11,0,37,6,6 to 10,4,0,2,4,3,4 Very High,4 Very High,1 Low,1 Low,2 Good,Below average,3,No,0
113,23,18 to 25,Male,Divorced,Sales,Sales Representative,1,1 Below College,Technical Degree,Travel_Rarely,2,No,2322,Q1 lowest,13,1,3,0,Under 1 year,0,0,0,3,3,1 Low,3 High,3 High,3 High,3 Better,Below average,3,No,0
116,51,46 to 60,Male,Married,Research & Development,Laboratory Technician,1,4 Master,Life Sciences,Travel_Rarely,9,No,2075,Q1 lowest,23,2,10,4,3 to 5,2,0,3,3,4,4 Very High,4 Very High,2 Medium,3 High,3 Better,Good,4,No,0
117,30,26 to 35,Male,Married,Research & Development,Healthcare Representative,2,3 Bachelor,Life Sciences,Travel_Rarely,2,No,4152,Q2,19,3,11,11,Over 10,10,10,8,1,3,4 Very High,3 High,1 Low,2 Medium,3 Better,Below average,3,No,0
118,46,46 to 60,Male,Single,Sales,Sales Executive,3,2 College,Medical,Travel_Rarely,9,No,9619,Q4 highest,16,0,9,9,6 to 10,8,4,7,1,3,4 Very High,3 High,4 Very High,2 Medium,3 Better,Good,3,Yes,1
119,40,36 to 45,Male,Married,Research & Development,Healthcare Representative,4,4 Master,Life Sciences,Travel_Frequently,1,No,13503,Q4 highest,22,1,22,22,Over 10,3,11,11,1,3,2 Medium,3 High,4 Very High,2 Medium,2 Good,Below average,4,No,0
120,51,46 to 60,Male,Single,Sales,Sales Executive,2,4 Master,Marketing,Travel_Rarely,21,Yes,5441,Q3,22,0,11,10,6 to 10,7,1,0,0,2,4 Very High,3 High,4 Very High,3 High,1 Bad,Good,4,No,0
121,30,26 to 35,Female,Divorced,Sales,Sales Executive,2,2 College,Medical,Travel_Rarely,4,Yes,5209,Q3,12,3,11,11,Over 10,8,2,7,1,4,2 Medium,3 High,2 Medium,2 Medium,2 Good,Below average,3,No,0
124,46,46 to 60,Male,Married,Research & Development,Healthcare Representative,3,3 Bachelor,Medical,Travel_Frequently,1,Yes,10673,Q4 highest,13,1,21,10,6 to 10,9,9,5,2,5,1 Low,3 High,3 High,2 Medium,2 Good,Below average,3,No,0
125,32,26 to 35,Male,Single,Sales,Sales Executive,2,4 Master,Medical,Travel_Rarely,6,No,5010,Q3,16,0,12,11,Over 10,8,5,7,1,0,3 High,2 Medium,1 Low,3 High,3 Better,Below average,3,No,0
126,54,46 to 60,Female,Married,Research & Development,Research Director,3,4 Master,Technical Degree,Travel_Rarely,2,No,13549,Q4 highest,12,1,16,4,3 to 5,3,0,3,9,5,3 High,1 Low,1 Low,3 High,1 Bad,Low,3,No,0
128,24,18 to 25,Female,Married,Sales,Sales Executive,2,2 College,Other,Travel_Rarely,3,No,4999,Q3,21,1,4,3,3 to 5,2,0,2,0,2,3 High,1 Low,1 Low,3 High,2 Good,Low,4,No,0
129,28,26 to 35,Male,Married,Sales,Sales Executive,2,3 Bachelor,Medical,Non-Travel,4,No,4221,Q2,15,0,5,5,3 to 5,4,0,4,1,3,3 High,2 Medium,2 Medium,3 High,4 Best,Below average,3,No,0
131,58,46 to 60,Male,Single,Sales,Sales Executive,4,4 Master,Medical,Travel_Rarely,10,No,13872,Q4 highest,13,0,38,37,Over 10,10,1,8,0,1,3 High,4 Very High,3 High,3 High,2 Good,Good,3,No,0
132,44,36 to 45,Male,Married,Research & Development,Laboratory Technician,2,3 Bachelor,Medical,Non-Travel,23,No,2042,Q1 lowest,12,1,17,3,3 to 5,2,1,2,4,3,2 Medium,2 Medium,3 High,3 High,4 Best,Below average,3,No,0
133,37,36 to 45,Male,Divorced,Human Resources,Human Resources,1,4 Master,Human Resources,Travel_Rarely,6,Yes,2073,Q1 lowest,22,0,7,3,3 to 5,2,0,2,4,3,1 Low,3 High,4 Very High,3 High,3 Better,Below average,4,Yes,1
134,32,26 to 35,Male,Single,Research & Development,Research Scientist,1,1 Below College,Life Sciences,Travel_Rarely,1,No,2956,Q2,13,0,1,1,Under 1 year,0,0,0,1,2,1 Low,4 Very High,4 Very High,3 High,3 Better,Good,3,No,0
137,20,18 to 25,Female,Single,Research & Development,Laboratory Technician,1,3 Bachelor,Life Sciences,Travel_Frequently,6,Yes,2926,Q2,18,0,1,1,Under 1 year,0,1,0,1,5,4 Very High,4 Very High,2 Medium,2 Medium,3 Better,Good,3,Yes,1
138,34,26 to 35,Female,Single,Research & Development,Research Scientist,2,4 Master,Other,Travel_Rarely,6,No,4809,Q2,14,0,16,16,Over 10,13,2,10,1,3,3 High,1 Low,3 High,3 High,3 Better,Below average,3,No,0
139,37,36 to 45,Male,Divorced,Research & Development,Healthcare Representative,2,2 College,Life Sciences,Non-Travel,2,No,5163,Q3,14,1,17,1,Under 1 year,0,0,0,5,2,4 Very High,3 High,4 Very High,2 Medium,4 Best,High,3,No,0
140,59,46 to 60,Female,Married,Human Resources,Manager,5,4 Master,Human Resources,Non-Travel,2,No,18844,Q4 highest,21,1,30,3,3 to 5,2,2,2,9,3,4 Very High,3 High,4 Very High,2 Medium,3 Better,Good,4,No,0
141,50,46 to 60,Female,Married,Research & Development,Research Director,5,3 Bachelor,Life Sciences,Travel_Frequently,1,Yes,18172,Q4 highest,19,0,28,8,6 to 10,3,0,7,3,1,2 Medium,1 Low,1 Low,3 High,2 Good,Low,3,No,0
